id_conf,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ,rank_AdG_3KPZ,ECR_1DB1_new,ECR_3KPZ_new
C97961079_26,Brc1c(\C=N\NC(=O)[C@H]2C[C@@H]2c2ccc(cc2)C(C)(C)C)c(Br)cc(Br)c1O,-90.0051,-16.8087,-13.665338,-13.326749,-30.06629,-27.474176,-105.85226,-99.905678,-7.4513369,-4.6521029,2665,0.005849836,0.002295862
CHEMBL452878_10,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@H](\C=C\C[C@@H](O)CC34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-117.424,-19.612,-13.657381,-13.74732,-38.361618,-38.479473,-76.85331,-92.780998,-0.50353575,-3.3938944,3244,0.006603073,0.00533835
C09969106_18,O(C)c1cc(ccc1OC)CC[NH2+]Cc1c2c(n(Cc3ccc(cc3)C=C)c1C(=O)[O-])cccc2,-116.632,-14.0882,-13.650294,-11.456195,-29.342157,-29.752958,-70.811523,-78.4077,-2.5900457,3.7798631,4676,0.004185353,0.000551735
C06244525_53,S([C@H](C(=O)c1c2c([nH]c1)cccc2)c1ccccc1)c1nc2cc(S(=O)(=O)N)ccc2n1CCCC,-107.521,-14.7353,-13.647423,-13.297287,-25.028297,-25.085234,-104.71921,-108.29804,-0.83193153,0.20065345,4179,0.004828849,0.00300821
CHEMBL2171449_7,O(Cc1cc(CO)c(cc1)CO)c1cc(-c2ccc(cc2CCC)C(O)(CC)CC)c(cc1)CC,-122.405,-13.2587,-13.639054,-12.668427,-29.996641,-32.450676,-121.83899,-119.0976,0.039770085,-3.4991956,3211,0.007449902,0.005317927
C91954054_2,S1(=O)(=O)C[C@@H](NC(=O)CN(Cc2cn(nc2)-c2ccc(F)cc2)C)CC1,-96.5564,-16.839,-13.638614,-13.559388,-28.12483,-26.843393,-101.4755,-99.279739,-5.6931486,-5.2900586,2129,0.003886791,0.002366321
C59310685_1,S(CC(=O)NCc1ccc(cc1)C(F)(F)F)c1nc([nH]n1)N\N=C(/C)\C12CC3CC(C1)CC(C2)C3,-104.723,-13.5091,-13.63735,-13.427538,-30.210356,-30.17169,-109.77157,-112.2559,-7.4979305,-5.9541216,1474,0.006607581,0.004250382
CHEMBL3747395_5,O(C[C@@H](O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1n(CC)c(cc1)C(=O)Nc1ccc(OCC)cc1,-125.88,-14.5969,-13.62614,-13.81801,-33.295166,-33.699928,-101.17133,-109.97974,-0.77693599,0.016743258,4131,0.008029441,0.005646514
C36056931_6,O=C(\C=C\C=1C=2[C@@H](N(C=1)C[C@H](O)CNCCc1c3cc(ccc3[nH]c1)C)CC=CC=2)c1ccccc1,-121.74,-16.9539,-13.602849,-12.927236,-32.95079,-29.630527,-99.71743,-90.88063,-7.3004265,-5.5421572,1852,0.008376216,0.002039616
C20690023_19,S(=O)(=O)(NCCc1ccccc1)c1cc2[C@H]3[C@@H](CC=C3)[C@H](Nc2cc1)c1cc(O)c(OC)cc1,-111.866,-17.9694,-13.600714,-14.918333,-29.548635,-30.672188,-76.076019,-104.09632,-4.2979841,-5.8170791,1605,0.003610835,0.003953678
C20528765_2,Brc1ccc(cc1)[C@H]1C2=C(OC(N)=C1C#N)\C(\CN(C2)C)=C\c1ccc(Br)cc1,-81.3446,-14.5795,-13.588682,-13.673657,-23.96763,-24.094599,-95.618561,-107.42207,-8.7970285,-8.8912964,50,0.005176438,0.00546035
CHEMBL2171447_36,FC(F)(F)C(O)(\C=C\C=C(/CC)\c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C(F)(F)F,-131.752,-17.1477,-13.577806,-13.551029,-28.195127,-30.830879,-98.972084,-135.6001,-7.7761922,-11.329794,1,0.007606382,0.008435402
C58848188_43,Clc1cc(NS(=O)(=O)c2cc3[C@@H]4[C@@H](CC=C4)[C@H](Nc3cc2)c2ccc(cc2)C(C)(C)C)c(cc1)C,-98.9885,-17.5044,-13.572895,-12.695654,-29.779299,-33.272232,-94.766037,-99.003677,-1.0009599,-5.2983265,2119,0.003133173,0.003512581
C19454453_29,O=C(N1CCC(CC1)c1nc2CCNCc2cn1)CCn1cc[nH+]c1C(C)C,-95.5737,-15.8916,-13.572803,-11.685686,-32.163334,-32.748955,-89.660477,-98.489761,-4.4624238,-4.9770932,2427,0.003686055,0.002236895
CHEMBL4080769_27,Oc1cc2CC[C@H]3[C@@H]4CC[C@H]([C@@H](CCCC(O)(C)C)C)[C@]4(CC[C@@H]3c2cc1)C,-104.396,-19.6791,-13.569134,-13.561315,-36.180523,-33.58379,-95.177322,-97.271103,-11.074577,-10.051109,14,0.008231762,0.007454384
C96585993_23,Clc1ccc(cc1\N=C(/[O-])\C(=C/c1cc(OC)c(OC(=O)c2ccccc2)cc1)\C#N)C(F)(F)F,-90.3203,-5.07387,-13.562749,-12.571957,-26.739443,-27.120798,-82.242607,-98.939636,-6.9083915,-2.5307677,3503,0.002712554,0.001386752
C20877067_39,Brc1cc(cc(OC)c1OC[C@@H](O)c1cc2OCOc2cc1)C[NH2+]C1CCCCCC1,-103.08,-14.0802,-13.544525,-13.046914,-33.997959,-31.619244,-125.02412,-100.886,-6.6117411,-6.0023403,1415,0.007488248,0.00345566
