id,smiles,ECR_1DB1,ECR_3KPZ
VDRML15875,O(C(=O)C1NN1)c1n(C)c(cc1C)C(N)(CO)c1ccc(cc1)C(=O)N,9.17E-07,2.59E-21
VDRML10938,FC(F)(F)C(O)(CCC(CC)(C)c1cc(OCc2cc(C)c(OCO)cc2)ccc1)C(F)(F)F,8.29E-07,3.45E-93
VDRML9264,FC(F)(F)C(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCCO)cc1)(C(F)F)C,0.000452409,0.024829279
VDRML21206,FC(F)(F)c1ccc(cc1OCc1cc(C)c(OCO)cc1)C(CC=CC(O)C(F)(F)C)CC,6.79E-07,5.28E-26
VDRML11005,O(C(CCO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(O)c(OCC(O)CCC)cc1,6.14E-07,2.09E-15
VDRML12494,O(C(CCO)CO)c1ccc(cc1C)COc1cc(ccc1)-c1ccc(cc1)C(CC)(C)C,5.56E-07,7.53E-85
VDRML605,OCc1ccc(cc1CC(CO)CO)CC=C(CC)c1cc(ccc1)CCCCC(O)C(C)(C)C,5.24E-07,7.63E-91
VDRML2072,O(C(C(O)O)C(O)=O)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)C(C)(C)C)cc1,0.00082343,0.063089663
VDRML9933,FC(F)(F)C(O)(CCC(CC)c1cc(ccc1)CCc1cc(CO)c(OO)cc1)C(F)(F)F,4.12E-07,1.01E-06
VDRML7073,OC1C(=C)C(CC1=O)=CC=C1C2CCC(C(CCCCOCC)C)C2(CCC1)C,3.73E-07,1.01E-05
VDRML21342,O1CC(O)=C(O)C(C)=C1C=Nc1ccc(N(C)C)cc1,3.37E-07,5.51E-42
VDRML2687,FC(O)(C(O)(C)C)COc1cc(ccc1)CC=C(CC)c1cc(OC(CCO)CO)ccc1,3.05E-07,1.21E-113
VDRML12421,FC(F)(F)C(O)(C(CC=C(CC)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C)C(F)(F)F,0.022313292,4.98E-42
VDRML14344,FC(C(O)C=CC=C(CC)c1cc(OCc2cc(ccc2CO)CO)ccc1)(C)C,2.50E-07,2.16E-66
VDRML1559,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(OC)(CC)COc1ccc(NC(=O)C=2N(C=2)C)cc1,6.78E-05,6.67E-39
VDRML1520,O1CCN(C1)CCCCOc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)C(C)(C)C)c(c1)C,9.14E-05,1.16E-20
VDRML6,FC(CCOCc1cc(ccc1)C(CC)(CC)c1cc(CO)c(OC(CO)CO)cc1)(C)C,1.85E-07,1.32E-108
VDRML13022,FC(C(O)COc1ccc(cc1CO)CCC(CC)c1ccc(OC(OCO)C)cc1)(C)C,1.67E-07,0.000166156
VDRML16424,OC1=CC(=NC2C3CCC(C(CCCC(=O)N)C)C3(CC2)C)CNC1=O,1.52E-07,2.74E-43
VDRML2073,O(C(CC(O)=O)C(O)O)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)C(C)(C)C)cc1,1.37E-07,0.009071795
VDRML1545,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)C2C(O)C2O)cc1,2.38E-06,8.42E-07
VDRML9968,FC(F)(F)C(O)(C=CC=C(CC)c1cc(OCc2cc(CO)c(OCO)cc2)ccc1)C(F)F,1.12E-07,1.37E-06
