id,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ
VDRML6590,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)O)cc1,-123.373,-18.5947,-16.303822,-15.506942,-36.962605,-35.110989,-132.55785,-141.16542,-8.7271891,-8.4922085
VDRML12454,FC(F)(F)c1ccc(cc1OCc1cc(CO)c(cc1)CO)C(CC)=CCCC(O)C(F)(F)F,-122.462,-17.1544,-16.299536,-13.787725,-29.256025,-29.449673,-93.596153,-108.20769,-8.8096781,-8.5091562
VDRML6182,O1CCN(NCOc2ccc(cc2C)C(CC)(CC)c2cc(C)c(OCC(O)C(C)(C)C)cc2)C1,-135.578,-18.5628,-16.296068,-18.238945,-35.164967,-35.423611,-110.82117,-130.12897,-4.2750373,-5.1008348
VDRML9282,FC(F)(F)C(O)(C=CC=C(CC)c1cc(OCc2cc(CO)c(O)cc2)c(cc1)C)C(F)(F)F,-123.232,-18.5775,-16.286345,-16.300705,-30.77047,-30.881935,-136.25656,-133.32497,-11.245702,-11.933008
VDRML17840,FC(F)(F)c1ccc(cc1OCc1cc(CO)c(cc1)CO)C(CCC)C=CC(O)C(F)(F)F,-122.929,-16.5217,-16.284,-14.7159,-29.231752,-28.417473,-119.7869,-124.80891,-9.9899778,-10.523198
VDRML2684,FC(O)(C(O)(C)C)COc1cc(ccc1)CCC(CC)c1cc(C)c(OC(CCO)CO)cc1,-128.612,-18.3437,-16.274595,-17.388386,-34.453529,-34.49057,-114.27954,-118.72705,-7.5805926,-3.5971732
VDRML1573,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)C=1CN(NO)C=1C(=O)Nc1ccc(OCC)cc1,-124.16,-19.2086,-16.258423,-14.292763,-35.015602,-34.765057,-106.23176,-110.97289,0.88568628,-0.67640793
VDRML2681,FC(O)(C(C)(C)C)COc1ccc(cc1)C(CC)(CC)c1cc(C)c(OC(CCO)CO)cc1,-128.53,-18.5414,-16.244043,-16.683666,-37.193409,-34.755981,-116.97248,-132.0305,-9.2774792,-8.9069481
VDRML7447,FC(F)(F)C(O)(C=C=C(CC)c1cc(ccc1)CCc1cc(O)c(OCCO)cc1)C(F)(F)F,-130.462,-16.7564,-16.243065,-15.493736,-29.798729,-29.386881,-116.87996,-126.07861,-9.7801933,-8.6388664
VDRML18247,FC(F)(F)c1ccc(cc1CCc1cc(C)c(OCO)cc1)C(CC(C(O)C(F)(F)F)=C)CC,-125.812,-17.1314,-16.233633,-14.002908,-29.586559,-28.753494,-108.62786,-113.21581,-9.6923847,-7.7705002
VDRML10254,FC(OC(C(C)C)CCc1ccc(cc1CO)CC=C(CC)c1cc(ccc1)CC)(CO)C,-114.902,-16.9692,-16.225399,-12.443311,-33.261715,-35.438618,-85.893951,-91.729515,-7.421823,-3.7472289
VDRML2458,O(Cc1cc(O)c(cc1)CO)c1cc(-c2ccc(cc2C)C(OCC)(C(O)C)CC)c(cc1)CC,-118.515,-14.477,-16.222874,-15.999887,-32.840031,-31.014681,-123.74759,-132.1996,-6.5733304,-5.0714798
VDRML6173,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)C=1N(CC)C=1C(=CC)C(=O)Nc1ccc(OCC)cc1,-125.681,-14.8607,-16.218596,-13.289247,-34.101734,-32.582924,-74.371094,-96.982399,3.6557591,7.8313198
VDRML2111,O(C(CCO)C)c1ncc(cc1C)C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)cc1,-123.087,-18.5716,-16.199297,-15.309797,-36.958725,-35.571709,-110.63985,-131.06631,-9.3772097,-8.3932905
VDRML9046,FC(F)(F)C(O)(C(O)CC=C(Cc1cc(ccc1)CCc1cc(C)c(OCO)cc1)CC)C(F)(F)F,-138.927,-18.0481,-16.196852,-13.688538,-31.740387,-31.615978,-117.38796,-147.35718,-9.9794197,-11.299744
VDRML9266,FC(F)C(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCCCO)cc1)(C(F)F)C,-133.042,-18.5301,-16.194057,-16.222149,-36.895805,-35.389484,-119.75619,-138.28183,-9.4189825,-8.3476229
